title,text
Собрание насекомых,Какие крохотны коровки!
Собрание насекомых,"Есть, право, менее булавочной головки."
Собрание насекомых,Крылов
Собрание насекомых,Мое собранье насекомых
Собрание насекомых,Открыто для моих знакомых:
Собрание насекомых,"Ну, что за пестрая семья!"
Собрание насекомых,За ними где ни рылся я!
Собрание насекомых,Зато какая сортировка!
Собрание насекомых,Куда их много набралось!
Собрание насекомых,Опрятно за стеклом и в рамах
Собрание насекомых,"Они, пронзенные насквозь,"
Собрание насекомых,Рядком торчат на эпиграммах.
"К Щербинину (Житье тому, любезный друг…)","Житье тому, любезный друг,"
"К Щербинину (Житье тому, любезный друг…)","Кто страстью глупою не болен,"
"К Щербинину (Житье тому, любезный друг…)","Кому влюбиться недосуг,"
"К Щербинину (Житье тому, любезный друг…)",Кто занят всем и всем доволен;
"К Щербинину (Житье тому, любезный друг…)","Кто Наденьку, под вечерок."
"К Щербинину (Житье тому, любезный друг…)",За тайным ужином ласкает
"К Щербинину (Житье тому, любезный друг…)",И жирный страсбургский пирог
"К Щербинину (Житье тому, любезный друг…)",Вином душистым запивает;
"К Щербинину (Житье тому, любезный друг…)","Кто, удалив заботы прочь,"
"К Щербинину (Житье тому, любезный друг…)","Как верный сын пафосской веры,"
"К Щербинину (Житье тому, любезный друг…)",Проводит набожную ночь
"К Щербинину (Житье тому, любезный друг…)",С младой монашенкой Цитеры.
"К Щербинину (Житье тому, любезный друг…)","Поутру сладко дремлет он,"
"К Щербинину (Житье тому, любезный друг…)",Читая листик «Инвалида»;
"К Щербинину (Житье тому, любезный друг…)","Весь день веселью посвящен,"
"К Щербинину (Житье тому, любезный друг…)","И мы не так ли дни ведем,"
"К Щербинину (Житье тому, любезный друг…)","Щербинин, резвый друг забавы,"
"К Щербинину (Житье тому, любезный друг…)","С Амуром, шалостью, вином,"
"К Щербинину (Житье тому, любезный друг…)",Покамест молоды и здравы?
"К Щербинину (Житье тому, любезный друг…)","Но дни младые пролетят,"
"К Щербинину (Житье тому, любезный друг…)","Веселье, нега нас покинут,"
"К Щербинину (Житье тому, любезный друг…)","Желаньям чувства изменят,"
"К Щербинину (Житье тому, любезный друг…)","Сердца иссохнут и остыпут,"
"К Щербинину (Житье тому, любезный друг…)","Найдем отраду, милый друг,"
"К Щербинину (Житье тому, любезный друг…)",В туманном сне воспоминаний!
"К Щербинину (Житье тому, любезный друг…)","Тогда, качая головой,"
"К Щербинину (Житье тому, любезный друг…)",Скажу тебе у двери гроба:
"К Щербинину (Житье тому, любезный друг…)",И тихо улыбнемся оба.
Ответ Катенину,"Напрасно, пламенный поэт,"
Ответ Катенину,Свой чудный кубок мне подносишь
Ответ Катенину,И выпить за здоровье просишь:
Ответ Катенину,"Не пью, любезный мой сосед!<sup>2</sup>"
Ответ Катенину,"Товарищ милый, но лукавый,"
Ответ Катенину,"Твой кубок полон не вином,"
Ответ Катенину,Но упоительнох! отравой:
Ответ Катенину,Он заманит меня потом
Ответ Катенину,Тебе вослед опять за славой.
Ответ Катенину,"Не так ли опытный гусар,"
Ответ Катенину,"Вербуя рекрута, подносит"
Ответ Катенину,"Ему веселый Вакха дар,"
Ответ Катенину,Пока воинственный угар
Ответ Катенину,Его па месте не подкосит?
Ответ Катенину,Я сам служивый: мне домой
